ba,ba,ba,ba,ba,ba,rb,rb,rb,rb,rb,rb,styles
0,0,0,7,2,3,0,2,0,3,0,7,Roggenbier
1,10,1,13,8,21,1,8,1,21,10,13,Munich Dunkel Lager
1,12,1,14,14,17,1,14,1,17,12,14,Irish Dry Stout
0,5,0,13,0,14,0,0,0,14,5,13,American Adjunct Lager
1,9,0,8,9,13,0,9,1,13,9,8,Belgian Dark Ale
2,11,1,10,10,17,1,10,2,17,11,10,Kellerbier / Zwickelbier
2,10,2,16,11,21,2,11,2,21,10,16,Bock
1,7,0,12,7,12,0,7,1,12,7,12,Dunkelweizen
3,19,5,25,34,19,5,34,3,19,19,25,Belgian Strong Dark Ale
1,1,0,3,1,6,0,1,1,6,1,3,Euro Strong Lager
3,19,1,33,9,34,1,9,3,34,19,33,Märzen / Oktoberfest
1,2,1,0,2,1,1,2,1,1,2,0,Eisbock
1,14,1,16,10,12,1,10,1,12,14,16,Maibock / Helles Bock
1,2,0,18,3,11,0,3,1,11,2,18,Dortmunder / Export Lager
0,1,0,4,0,3,0,0,0,3,1,4,American Malt Liquor
0,1,0,0,5,0,0,5,0,0,1,0,Braggot
2,3,1,10,1,14,1,1,2,14,3,10,American Amber / Red Lager
0,7,2,3,2,1,2,2,0,1,7,3,Flanders Oud Bruin
0,2,0,2,1,5,0,1,0,5,2,2,American Dark Wheat Ale
1,0,0,2,1,1,0,1,1,1,0,2,Faro
0,0,0,0,1,1,0,1,0,1,0,0,Black & Tan
0,16,0,7,7,11,0,7,0,11,16,7,Bière de Garde
0,7,2,4,3,2,2,3,0,2,7,4,Wheatwine
0,0,0,0,0,4,0,0,0,4,0,0,Happoshu
0,0,0,1,0,1,0,0,0,1,0,1,Japanese Rice Lager
0,2,0,1,0,0,0,0,0,0,2,1,Bière de Champagne / Bière Brut
0,2,1,0,1,0,1,1,0,0,2,0,Lambic - Unblended
0,1,0,2,2,0,0,2,0,0,1,2,Gueuze
